DATE,Wilshire5000,GDP,GvtBond,CorporateBondAAA
2010-04-01,11736.504444444444,15557.277,3.4900000000000000,5.04333333333333
2010-07-01,11308.665468750000,15671.967,2.7866666666666667,4.58
2010-10-01,12514.697812500000,15750.625,2.8633333333333333,4.85666666666667
2011-01-01,13582.022096774194,15712.754,3.4600000000000000,5.13
2011-04-01,13766.560793650794,15825.096,3.2100000000000000,5.03666666666667
2011-07-01,12731.228437500000,15820.7,2.4266666666666667,4.46333333333333
2011-10-01,12664.846190476190,16004.107,2.0466666666666667,3.92666666666667
2012-01-01,13987.017903225806,16129.418,2.0366666666666667,3.89666666666667
2012-04-01,13940.737619047619,16198.807,1.8233333333333333,3.8
2012-07-01,14432.954126984127,16220.667,1.6433333333333333,3.45666666666667
2012-10-01,14621.336129032258,16239.138,1.7066666666666667,3.54
2013-01-01,15705.150000000000,16382.964,1.9500000000000000,3.87666666666667
2013-04-01,16663.234218750000,16403.18,1.9966666666666667,3.96333333333333
2013-07-01,17430.162968750000,16531.685,2.7100000000000000,4.50666666666667
2013-10-01,18431.994843750000,16663.649,2.7466666666666667,4.59333333333333
2014-01-01,19168.279344262295,16616.54,2.7633333333333333,4.44
2014-04-01,19754.601269841270,16841.475,2.6233333333333333,4.21666666666667
2014-07-01,20474.010781250000,17047.098,2.4966666666666667,4.11666666666667
2014-10-01,20740.450937500000,17143.038,2.2800000000000000,3.87666666666667
2015-01-01,21393.065409836066,17305.752,1.9666666666666667,3.57
2015-04-01,21821.210634920635,17422.845,2.1666666666666667,3.89666666666667
2015-07-01,21009.535156250000,17486.021,2.2200000000000000,4.08666666666667
2015-10-01,21132.388593750000,17514.062,2.1900000000000000,3.99333333333333
2016-01-01,19941.060000000000,17613.264,1.9200000000000000,3.92666666666667
2016-04-01,21305.665312500000,17668.203,1.7533333333333333,3.59
2016-07-01,22285.862187500000,17764.388,1.5633333333333333,3.33666666666667
2016-10-01,22618.884444444444,17876.179,2.1300000000000000,3.81
2017-01-01,24111.269354838710,17977.299,2.4433333333333333,3.96
2017-04-01,24790.550952380952,18054.052,2.2633333333333333,3.8
2017-07-01,25461.440952380952,18185.636,2.2433333333333333,3.65333333333333
2017-10-01,26896.359841269841,18359.432,2.3700000000000000,3.56
2018-01-01,28168.440000000000,18530.483,2.7600000000000000,3.74666666666667
2018-04-01,27982.357031250000,18654.383,2.9200000000000000,3.93666666666667
2018-07-01,29503.229206349206,18752.355,2.9266666666666667,3.91
2018-10-01,27705.326190476190,18813.923,3.0333333333333333,4.12666666666667
2019-01-01,28004.698032786885,18950.347,2.6533333333333333,3.83
2019-04-01,29580.298095238095,19020.599,2.3333333333333333,3.59333333333333
2019-07-01,30234.621250000000,19141.744,1.7966666666666667,3.1
2019-10-01,31449.053750000000,19253.959,1.7933333333333333,3.02666666666667
2020-01-01,31081.847741935484,19010.848,1.3766666666666667,2.91333333333333
2020-04-01,29651.136666666667,17302.511,0.68666666666666666667,2.45666666666667
